,Unnamed: 0,ligand_name,docking_score,Smiles,Log Standard Value,IC50
0,0,ligand_504,-6.4,CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4cccs4)nc23)cc1,2.4849066497880004,1
1,1,ligand_655,-7.6,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1ccc(Cl)c(C(=O)O)c1,5.075173815233827,1
2,2,ligand_1490,-6.9,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@@H](F)C2)c1,1.9315214116032136,1
3,3,ligand_1271,-6.6,COC(=O)N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,4.248495242049359,1
4,4,ligand_1687,-8.0,O=C1Nc2ccccc2/C1=C1/Nc2cc(Br)ccc2C1=O,1.3862943611198906,1
5,5,ligand_1244,-7.5,N#Cc1cccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)c1,4.454347296253507,1
6,6,ligand_1640,-2.1,CC(=O)c1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCc4ccncc4)cc23)cc1,0.3506568716131693,1
7,7,ligand_789,-7.1,O=C1NC(=O)/C(=C/c2ccc(-c3ccsc3)cc2)N1,8.764053269347762,1
8,8,ligand_797,-7.0,Cn1cc(C2=C(C(=O)CBr)C(=O)NC2=O)c2ccccc21,1.6094379124341005,1
9,9,ligand_1366,-7.4,COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,4.31748811353631,1
10,10,ligand_904,-7.8,O=C(NCc1ccccc1)Nc1cccc2ccccc12,2.8390784635086144,0
11,11,ligand_1419,-7.2,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl,2.532902848056256,1
12,12,ligand_2165,-6.7,CCOC(=O)c1[nH]ncc1/C=C1\C(=O)Nc2ccc([N+](=O)[O-])cc21,7.478734825567875,1
13,13,ligand_1942,-7.0,C[C@@H]1CN(C)CCN1c1nc(-c2ccncc2)cc(=O)n1C,4.382026634673881,1
14,14,ligand_939,-7.7,c1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,5.170483995038151,1
15,15,ligand_452,-2.6,O=C(O)COc1ccc(Nc2ncc3nnn(-c4ccccc4)c3n2)cc1,2.5649493574615367,1
16,16,ligand_1893,-0.9,COc1cc(F)ccc1-c1ccnc(NC(=O)C2CCC(NC(C)=O)C2)c1,6.75343791859778,1
17,17,ligand_1569,-7.2,O=C(Nc1n[nH]c2nc(-c3ccccc3)c(Br)cc12)C1CC1,4.31748811353631,1
18,18,ligand_1605,-8.2,Cc1ccc(C(=O)CC2(O)C(=O)Nc3ccc(Nc4ccco4)cc32)cc1,7.448333860897476,1
19,19,ligand_2168,-6.4,CC1(C)CC(C(=O)Nc2cc(C(=O)Nc3cnccc3-c3ccccc3)ccn2)C1,0.5306282510621704,1
20,20,ligand_137,-7.2,N#Cc1c(N)nc2sc(C(=O)c3cccc(Cl)c3)c(N)c2c1-c1ccccc1I,10.819778284410283,1
