Smiles,Standard Type,Standard Relation,Standard Value
CCCC(=O)Nc1n[nH]c2cc(-c3cccnc3)ccc12,IC50,'=',10892.0
CCCC(=O)Nc1n[nH]c2cc(-c3ccc4c(c3)COO4)ccc12,IC50,'=',25038.0
O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1,IC50,'=',10000.0
CC(C)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,IC50,'=',420.0
COc1cccc(-n2ncc3c(N/N=C/c4ccc(NC(C)=O)cc4)ncnc32)c1,IC50,'=',12.59
COc1cccc(-n2ncc3c(N/N=C/c4ccc(S(=O)(=O)NCCN(C)C)cc4)ncnc32)c1,IC50,'=',10.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,'=',5.2
Cc1nnc(-c2ccc3occ(-c4ccc([S+](C)[O-])cc4)c3c2)s1,IC50,'=',72.0
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,IC50,'=',18.0
Cc1ccc(-c2ccc3scc(-c4ccc([S+](C)[O-])cc4)c3c2)o1,IC50,'=',790.0
CC1(C)COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,IC50,'=',49.0
COc1cc(C2=C(c3c[nH]c4cccnc34)C(=O)NC2=O)cc(OC)c1OC,IC50,'=',215.0
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,IC50,'=',11.0
Nc1nccc(-c2c[nH]c3ccc(Br)cc23)n1,IC50,'=',2000.0
O=C(CBr)c1ccc(-c2ccccc2)cc1,IC50,'=',2500.0
O=C(CCl)c1cscc1Cl,IC50,'=',25000.0
O=C(CCl)c1cc(Cl)sc1Cl,IC50,'=',5000.0
COc1cccc(-n2ncc3c(N/N=C/c4ccc(N)cc4)ncnc32)c1,IC50,'=',2.512
CS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,IC50,'=',43000.0
CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,IC50,'=',20000.0
CCN(CC)c1cc(Nc2ccc(S(N)(=O)=O)cc2)n2ncnc2n1,IC50,'=',11000.0
NS(=O)(=O)c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1,IC50,'=',190.0
NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1,IC50,'=',29000.0
Cn1cc(C2=C(N3CCOCC3)C(=O)NC2=O)c2ccccc21,IC50,'=',8200.0
O=C(CCl)c1ccc(Br)s1,IC50,'=',10000.0
CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,IC50,'=',450.0
Brc1cnn2c(NCc3cccnc3)cc(C3CCNCC3)nc12,IC50,'=',410.0
CSc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,IC50,'=',1800.0
N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,IC50,'=',0.8
COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,IC50,'=',2.3
O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,IC50,'=',30.0
Cn1c(NCC(=O)c2cccc(C#N)c2)nc(-c2ccncc2)cc1=O,IC50,'=',13.0
Oc1cccc2c1[nH]c1c(C3=C[C@@]4(O)CC/C=C\CCCCN5CC[C@@H]3[C@]3(CC6/C=C\CCCCN6[C@H]34)C5)nccc12,IC50,'=',4800.0
COc1ccc(-c2ccc(/C=C3\SC(=S)NC3=O)o2)c([N+](=O)[O-])c1,IC50,'=',5560.0
Fc1cc(F)cc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1,IC50,'=',195.0
O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c1,IC50,'=',164.0
O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1,IC50,'=',86.0
N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,IC50,'=',56.0
O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,IC50,'=',1.0
O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,IC50,'=',109.0
O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cccc(O)c1,IC50,'=',236.0
O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,IC50,'=',58.0
Cc1cc2c3c(c1)c(C1=C(c4cnc5ccccn45)C(=O)NC1=O)cn3CCN(C(=O)N1CCCCC1)C2,IC50,'=',5.2
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,IC50,'=',1.3
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,IC50,'=',23.0
O=C(Nc1cc(-c2ccc(O)cc2)cc2[nH]ncc12)c1ccccn1,IC50,'=',1584.89
Clc1ccccc1CSc1nnc(-c2ccc3c(c2)CCO3)o1,IC50,'=',200.0
O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1cnccn1,IC50,'=',25.0
O=C(Nc1ncnc2[nH]c(-c3ccc4ccccc4c3)nc12)C1CC1,IC50,'=',169.0
O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C\c1ccccn1,IC50,'=',20000.0
O=C(Nc1ncnc2oc(-c3ccc(F)cc3)cc12)C1CC1,IC50,'=',575.0
COc1ccc(CNC(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)cc1,IC50,'=',3640000.0
CC(C)N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,IC50,'=',13.0
C[C@H]1CNCCN1c1nc(-c2ccncc2)cc(=O)n1C,IC50,'=',920.0
COc1ccc(N2CCN(c3nc(-c4ccncn4)cc(=O)n3C)[C@H](C)C2)cc1,IC50,'=',0.1
COc1cccc(C2CN(c3nc(-c4ccncc4)cc(=O)n3C)CCN2)c1.Cl,IC50,'=',11.0
Cn1c(N2CCNC(c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,IC50,'=',1.7
Cc1cc(F)ccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,IC50,'=',24.0
CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,IC50,'=',18.0
O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCn1cc2c2cccnc21,IC50,'=',34.0
CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21,IC50,'=',190.0
O=C(CBr)c1ccc(Cl)cc1,IC50,'=',1000.0
CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,IC50,'=',9600.0
O=C(/C=C/c1ccc(O)c(O)c1)c1cccnc1,IC50,'=',24360.0
COc1cc(-c2cc(-c3cc(C)cc(Cl)c3O)nc3ncnc(N)c23)ccc1O,IC50,'=',113.0
COc1ccc(Nc2nnc(-c3ccc(Cl)cc3)o2)cc1,IC50,'=',534.0
CCn1sc(=O)n(Cc2ccccc2)c1=O,IC50,'=',7149.0
O=c1sn(CCc2ccccc2)c(=O)n1Cc1ccc(F)cc1,IC50,'=',1863.0
CCNC(=O)/N=c1\sn(CC)c(=O)n1-c1ccccc1,IC50,'=',75000.0
O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,IC50,'=',380.0
Nc1nonc1-n1nnc(C(=O)NCc2ccncc2)c1CN1CCCCC1,IC50,'=',9300.0
COc1cnc(CCc2ccc(F)cc2)nc1-c1cc2c([nH]1)CCNC2=O,IC50,'=',25600.0
O=C(CCl)c1ccccc1,IC50,'=',50000.0
CCCCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,IC50,'=',600000.0
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccc(O)cc2N1,IC50,'=',18.0
CCOC(=O)/N=c1\sn(C(=O)OCC)c(=S)n1-c1ccccc1,IC50,'=',100000.0
