canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
Fc1cc(F)c2ccc(Oc3cncc4nnc(-c5ccc(OC(F)F)cc5)n34)cc2c1,-8.3,0.3323313005212531,2.8382493678139973,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_0,-8.1
CN1/C(=C\C=N\NC(=O)c2ccccc2Br)C(C)(C)c2ccccc21,-4.5,0.6123846540856446,2.464845741671148,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_1,-5.1
Sc1nnc(-c2cccnc2)n1/N=C/c1cccs1,-6.1,0.5947939690588201,2.7078299874805616,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_3,-6.1
Cc1c(Br)c(C(N)=O)nn1C,-4.7,0.7492354091317335,2.560827808824701,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4,-4.7
O=C(N/N=C/c1ccoc1)c1ccccc1O,-5.7,0.62266902286308,2.2509604593915764,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_5,-5.6
CCN1CCN(C)C/C1=N\c1ccc([N+](=O)[O-])cc1C(=O)Nc1ccccc1,-7.0,0.6345691542368852,2.614031497924591,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_7,-6.8
Cc1cc(OC(=O)c2cccc(Cl)c2)c([N+](=O)[O-])c(O)n1,-6.5,0.5310486649851173,2.418675199379537,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_9,-6.7
Cc1cc(C)c(COc2ccc(/C=N/n3c(C)nnc3S)cc2)c(C)c1,-5.3,0.5420988505627929,2.5486046211812585,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_11,-4.7
CC(=O)/C(=N\Nc1ccccc1)Oc1ccc(Br)cc1,-6.8,0.5253571508802568,2.290744945189008,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_13,-7.0
COc1ccc2cc(Br)c(=O)oc2c1,-5.8,0.7349079160544915,2.094809579774978,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_14,-5.8
C=CC(=O)NCOCCCC,-4.2,0.3555101429885686,2.567158797835692,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_15,-4.3
COCc1n[nH]c(O)c1/C=N/N1CCOCC1,-5.6,0.71963750098439,3.279529062217323,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_16,-5.7
CC(C)OCCO,-3.2,0.5613868084500069,2.1540697403702325,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_17,-3.3
CC(C)=CC(C)(C)C,-4.3,0.4224746241670474,2.8018978039991307,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_18,-4.4
COc1cc(C(=O)OCCN2CCN(CCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC,-2.4,0.3149969161023213,2.349014376099012,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_19,-4.6
COc1cc(/C=N/NC(=O)Cn2ccc(C(F)(F)F)n2)cc(OC)c1OC,-2.7,0.5816344979530917,2.443772947285007,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_21,-3.6
O=C(O)c1cccc(Cn2c(Cl)c(/C=N/NC(=O)c3ccccc3)sc2=O)c1,-5.6,0.476857063770904,2.3362829098038507,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_22,-4.9
CCO/C(O)=C\C1=Nc2cc(C)c(C)cc2NC(=O)C1,-6.9,0.8316319805191804,3.1395546765103184,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_23,-6.8
C/C(=N/NC(=O)c1ccccn1)c1ccco1,-6.3,0.644499597357103,2.1820518251686565,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_25,-6.3
Oc1ccc(/C=N/Nc2nc(-c3ccccc3F)nc3ccccc23)c(O)c1,-6.5,0.3660934441399706,2.367036604491723,1,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_26,-6.3
COc1ccc2c(c1)[nH]c1cccc(CNCc3ccccc3)c12,-7.8,0.5635481713331949,2.0123404962977105,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_27,-7.8
COc1ccc(C(=O)N/N=C/c2ccc(OC(=O)c3cccs3)cc2)cc1,1.5,0.3058570286741477,2.0215946008912766,0,1,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_28,-0.2
NCCNCCO,-3.1,0.3814524418111515,2.341806582475495,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_29,-3.1
COc1ccccc1/C=N/Nc1cc(C)nc2ccc(C)cc12,-7.4,0.5770100946997688,2.114105507239568,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_30,-7.7
CCOC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(CC(C)C)/c1=N/C(=O)c1ccco1,-6.2,0.3428598034828342,2.840301413291096,1,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_31,-5.1
Oc1ccc(CCN2CCc3ccccc3C2)cc1O,-6.9,0.8420076549144655,1.978216856399396,1,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_32,-7.2
CCCCCCCCCCCC(=O)OCC,-4.5,0.3850425600347897,1.6484223215021796,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_33,-4.4
COc1cc(/C=N\NC(=O)CNC(=O)c2cccc([N+](=O)[O-])c2)ccc1O,-7.1,0.3783294900149483,2.1394496541457144,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_35,-6.8
COc1ccccc1C(=O)Nc1cc(NC(=O)c2ccccc2C(C)C)ccc1F,-2.5,0.5709949038500142,1.9310767799909383,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_36,-4.9
CC(=O)CC(=O)OC(C)(C)C,-4.5,0.4491972814661653,2.084302900399795,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_37,-4.5
CC(/C=C(\O)c1ccc(Br)cc1)=N/NC(=O)c1ccccc1,-7.3,0.4893707906697745,2.1885278236879984,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_39,-7.5
O=C(CNC(=O)c1cccnc1)N/N=C/c1ccc(O)cc1O,-5.5,0.468807574962748,2.2482893587726505,1,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_40,-5.0
O=C(N/N=C/c1ccccn1)c1cc(-c2ccccc2Cl)n[nH]1,-3.7,0.5712280153537564,2.323238510057644,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_41,-2.3
CC(/C=C/c1ccccc1)=N/NC(=O)Cn1nnc(N)n1,-6.9,0.6121082882640618,2.640609005047553,0,1,1,1,0,Ахиральная,True,0,E/Z указана,ligand_42,-7.1
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,-5.9,0.4045699827911374,2.8287370387610977,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_43,-6.6
COc1ccc(/C=N/Nc2nc3ccccc3[nH]2)c(OC)c1OC,-5.9,0.5374173200831126,2.2950328039900185,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_44,-5.5
Cc1ccc(-c2cc(C(=O)Nc3ccc(C(F)(F)F)cc3)c3ccccc3n2)cc1C,1.4,0.3964764269788683,1.9944193534697696,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_45,-3.5
Cc1ccc(-n2nc3cc(C)c(NC(=O)COc4ccccc4)cc3n2)cc1,-5.7,0.5736652175838644,2.0552519891071075,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_46,-7.4
Nc1cc(C(=O)N/N=C/c2cccc([N+](=O)[O-])c2)nnc1O,-5.4,0.419644060160466,2.683682247476794,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_48,-5.3
Nc1nc(=S)[nH][nH]1,-4.0,0.4192819734513104,3.8857256108155767,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_49,-4.0
O=C1C=CC(=O)N1c1ccc(Br)cc1[N+](=O)[O-],-6.3,0.4732378898143599,2.458081966455941,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_51,-6.0
