canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
Cc1c(C(=O)c2ccccc2)c(N)c(-c2ccccc2)n1Cc1ccc(Cl)cc1,-5.9,0.4187878187819444,2.114612465543468,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4616,-6.7
C/N=C(\S)NCCCCc1c[nH]cn1,-4.9,0.2975577233030495,3.352465585692138,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_9572,-4.7
Cc1cc(C(=O)N/N=C/c2ccc([N+](=O)[O-])s2)c2ccccc2n1,-3.1,0.4475406547981211,2.3949952474289304,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_1844,-0.7
CCn1cc(C(=O)O)c(=O)c2cc(F)c(Oc3ccc(C)cc3)c(F)c21,-7.6,0.761517778884521,2.387119196939283,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_8148,-7.0
O=C(CSc1nc2ccccc2s1)N/N=C/c1ccccc1C(=O)O,-6.8,0.3942497750689475,2.1763070054074127,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_1383,-6.4
O=C(CSc1nnc(-c2ccncc2)n1-c1ccccc1)N/N=C/c1cccnc1,-7.0,0.283096051477508,2.326482502919694,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_6114,-6.7
Cc1onc(-c2ccccc2Cl)c1NC(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,-6.7,0.4114786816987549,2.488935022283716,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4996,-7.4
O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cccs1,-6.1,0.7263047974250739,2.0648278848619466,0,1,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_7388,-6.1
O=C(O)CCc1ncc(C(F)(F)F)cc1Cl,-6.0,0.9010949001185348,2.2769550687549263,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_1259,-6.0
Cc1ccc(C(=O)/C=C/Nc2ccc3c(c2)OCO3)cc1,-6.7,0.6876500493291178,2.11184387263898,0,0,0,1,1,Ахиральная,True,0,E/Z указана,ligand_1724,-7.1
Cn1c(C#N)ccc1-c1ccc2c(c1)C(c1ccccc1)(c1ccccc1)OCC(=O)N2,-4.7,0.5174922348556226,2.860073404926954,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_5994,-5.1
Cc1nn(C)cc1/C=N/NC(=O)CSc1nnc(-c2cccc(Br)c2)n1C,-5.7,0.3557361896905259,2.573452075198345,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_3669,-6.7
Cc1nc2ccccc2nc1N/N=C/c1ccc(O)cc1,-6.6,0.5702656364974057,2.143571993698247,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_7748,-6.9
O=C(c1ccc(O)cc1O)N1Cc2ccccc2C1,-7.1,0.8212457466355331,1.966905353780927,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6387,-7.0
O=C(NC1=C(N2CCOCC2)C(=O)c2ccccc2C1=O)c1ccccc1,-7.7,0.9043458644274628,2.2034602813646487,1,0,1,0,0,Ахиральная,True,0,E/Z не применима,ligand_1972,-7.9
COc1ccc2c(c1)C=C(C(C)=O)CO2,-6.0,0.7392741398299068,2.34612982210062,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_1532,-6.0
CN(CCc1ccc(F)cc1)c1cc2nc(-c3ccco3)nn2c(N)n1,-7.7,0.5943794035397926,2.646718720232892,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6890,-7.9
O=C(CCCCCCc1ccccc1)c1ncc(CCCCCO)o1,-5.7,0.4207368520757606,2.331603607093395,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_2726,-6.0
CCOc1cc(/C=N\n2nnnc2N)ccc1O,-6.3,0.7495591043418185,2.6426443852679338,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_3878,-6.3
NC(=O)c1cc2ccccc2o/c1=N\NC(=O)c1ccco1,-7.6,0.7110002123302385,2.3845431374065384,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_548,-7.8
O=C(O)c1cncc(Cc2cc(Cl)ccc2OCc2ccccc2)c1,-7.6,0.7030079458033861,1.9607031592535653,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_8045,-7.6
CCCCCCc1nc2c3c(cc(F)c2n1C)c(=O)c(C(=O)NC)cn3CC,-6.2,0.631772894861726,2.7430471051022227,1,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_6652,-6.3
CC(C)COC1CCN(S(=O)(=O)N2CCCC2)CC1,-6.0,0.7701143168618011,2.3401795676174064,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_7319,-6.1
CSCCCCCc1cnc(C(=O)CCCCCCc2ccccc2)o1,-5.5,0.2951493948291248,2.435367141285523,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_2316,-5.8
CC(=O)Nc1cc(-c2ccccc2)cn2c(C)nnc12,-7.2,0.7753867382098804,2.245975714419778,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6746,-7.2
Cc1ccc(CNC(=O)c2ccc(CNc3c(N4CCCC4)c(=O)c3=O)cc2)cc1,-5.7,0.5933417874728608,2.127786197317798,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_1916,-3.2
COc1cc(OC)c(/C=C(\SCc2ccccc2Cl)C(=O)c2ccc(Cl)cc2)c(OC)c1,-4.6,0.2354507409090921,2.4853248193190147,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_8981,-5.3
Cc1cccc(C(=O)NNC2=CC(=O)CC(C)(C)C2)c1O,-7.3,0.7451242318502878,2.635258195330956,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4219,-7.3
CCOC(=O)N[C@@H](CCCCNS(N)(=O)=O)C(=O)Nc1nc(-c2ccccc2)cs1,-5.6,0.3792795818420109,2.793619960800406,0,1,0,1,0,Хиральная,True,1,E/Z не применима,ligand_5568,-4.9
CCc1nc2ccc(C(=O)Nc3cccc(NS(C)(=O)=O)c3)cn2c1N(C)C(=O)Cc1ccccc1,-2.7,0.3789581334827315,2.5890294628524853,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_71,-0.6
N[C@H]1CC[C@H](Nc2nc(Nc3cccc(CN4CCOCC4)c3)c3ncn(CCCO)c3n2)CC1,-4.2,0.3652276359663817,2.752699126269535,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_5023,-6.0
O=C1O[C@@H](Cn2ccnn2)CN1c1cc(F)c(N2CCCOCC2)c(F)c1,-4.4,0.8068735989132622,3.2713047724023507,0,0,0,0,0,Хиральная,True,1,E/Z не применима,ligand_9108,-3.9
COc1nc2c3c(ccc2c(OC)c1CC(=O)C(C)C)OCO3,-6.6,0.8445298271989089,2.8389748691276804,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_5431,-6.7
c1cncc(CNCCc2nnc3ccccn23)c1,-6.0,0.6993350445658026,2.180361494131805,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_6177,-6.2
Cc1ccc(/C=N/n2c(C)nc3ccccc3c2=O)s1,-6.5,0.6788120107984896,2.3703627589541902,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_2487,-6.9
CN(C)CC(=O)O[C@H]1CC[C@H](N2CCN(C(=O)c3nc4c(C(F)(F)F)cc(C5CC5)cn4c3Cl)CC2=O)CC1,31.3,0.4943619283361127,3.229175055660288,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_2305,23.9
CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12,-7.0,0.5067193785285917,2.779625654145713,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_2287,-6.9
CCCCCCCCCCNC(=O)/C(C#N)=C/c1c(C)[nH]c2ccccc12,-5.9,0.307233063519307,2.376609478321539,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_7411,-5.9
CS(=O)(=O)c1cccc(CO)c1,-5.2,0.7347755732019083,1.7368271383309146,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_5697,-5.2
O=C(O)c1cccc(N/N=C/c2cccs2)c1,-6.0,0.6437610894822128,2.103643033959864,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_3278,-5.9
O=C(N[C@H]1CCN(CCc2ccc(OC3CCNCC3)c(Cl)c2)C1)c1ccc(Cl)c(Cl)c1,-5.3,0.5767320569148859,2.847436886893892,0,0,0,0,0,Хиральная,True,1,E/Z не применима,ligand_5571,-5.7
Clc1ccc(Nc2ccc(CN3CCO[C@@H](c4ccccc4)C3)cn2)cc1Cl,-7.0,0.5808353728630264,2.62073688199853,0,0,0,0,0,Хиральная,True,1,E/Z не применима,ligand_8913,-7.1
COc1cccc(CCc2ccccc2OCCCN2CCN(C)CC2)c1,-6.4,0.6327032511792353,1.9552194379821304,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4787,-6.6
N#CC1(N)CCCCC1,-4.3,0.5266611257911897,2.9622526226101726,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_684,-4.3
O=C(NCc1cccc(Cl)c1)c1cncc2nnc(-c3ccc(OC(F)F)cc3)n12,-8.0,0.5011758967328352,2.529422869947492,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4559,-7.3
CCCOc1ccc2nc(-c3ccc(Cl)cc3)cn2n1,-6.2,0.7317612177065068,2.197320304675257,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6661,-6.6
C/C(=N/Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)c1ccc(N)cc1,-6.8,0.2827838030798523,2.1276136998017687,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_2486,-6.7
O=C1c2ccccc2CCN1CCCN1CCN(c2cccc(Cl)c2Cl)CC1,-7.6,0.7283131516315617,2.2089101087652274,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_7732,-7.7
O=C(N/N=C/c1ccccc1O)C(=O)Nc1ccccn1,-5.6,0.4418223138740884,2.1546436204321697,1,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_2490,-4.9
Cc1nc(NC(=O)c2ccccc2)sc1C(=O)/C=C/c1cccc(Br)c1,-1.6,0.4405040442013815,2.134731984266155,0,1,0,1,1,Ахиральная,True,0,E/Z указана,ligand_5291,-3.7
Cc1cc(/C=N\NC(=O)CC(=O)NC2CCCCC2)c(C)n1-c1cccc(Cl)c1Cl,-8.1,0.381524808253153,2.512768538232697,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_1506,-7.9
N=C(Nc1cccc(-c2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1,-6.3,0.2318879356424065,2.7565227416607865,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_1932,-6.6
CC(=O)Nc1ccc(C)cc1C,-5.7,0.6756127009998775,1.4090800229462983,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_3671,-5.8
CCCCCOc1c(-c2ccccc2)cc(O)c(-c2ccccc2)c1O,-7.0,0.5147737619749466,2.0745457971559684,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_7950,-7.2
CCCCc1nc2cc(S(=O)(=O)NC3CCCCC3)ccc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,-2.1,0.2400056682668737,2.425252539741628,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6047,-1.4
CSCC[C@H](NC(=O)c1ccc(CNC(CC2CCCCC2)CC2CCCCC2)cc1-c1ccccc1C)C(=O)O,-4.1,0.2117042486401871,3.168330496636928,0,0,0,0,0,Хиральная,True,1,E/Z не применима,ligand_8087,-2.2
CCOc1cc(/C=N/N=C(N)N)ccc1OCc1ccc(Cl)cc1,-6.4,0.4574705749772715,2.1642735279719183,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_3497,-6.6
CCOC(=O)c1c(Cc2ccc(Cl)cc2)n(Cc2ccccc2)c2c1cc(O)c1ccccc12,-6.0,0.2730768011667589,2.3671978899112425,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_6097,-7.3
