,Unnamed: 0,canonical_smiles,Log Standard Value,docking_score
0,0,CCCC(=O)Nc1n[nH]c2cc(-c3cccnc3)ccc12,9.295783853793653,-7.604
1,1,CCCC(=O)Nc1n[nH]c2cc(-c3ccc4c(c3)COO4)ccc12,10.128149949819608,-8.307
2,2,O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1,9.210340371976184,-6.976
3,3,CC(C)c1cc(NCc2cccnc2)n2ncc(Br)c2n1,6.040254711277414,-6.843
4,4,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.6486586255873816,-10.736
5,5,Cc1nnc(-c2ccc3occ(-c4ccc([S+](C)[O-])cc4)c3c2)s1,4.276666119016055,-7.834
6,6,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,2.8903717578961645,-7.861
7,7,Cc1ccc(-c2ccc3scc(-c4ccc([S+](C)[O-])cc4)c3c2)o1,6.672032945461067,-8.256
8,8,CC1(C)COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,3.8918202981106265,-8.316
9,9,COc1cc(C2=C(c3c[nH]c4cccnc34)C(=O)NC2=O)cc(OC)c1OC,5.3706380281276624,-7.333
10,10,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,2.3978952727983707,-10.563
11,11,Nc1nccc(-c2c[nH]c3ccc(Br)cc23)n1,7.600902459542082,-6.932
12,12,O=C(CBr)c1ccc(-c2ccccc2)cc1,7.824046010856292,-6.434
13,13,O=C(CCl)c1cscc1Cl,10.126631103850338,-4.318
14,14,O=C(CCl)c1cc(Cl)sc1Cl,8.517193191416238,-4.768
15,15,COc1cccc(-n2ncc3c(N/N=C/c4ccc(N)cc4)ncnc32)c1,0.9210792486059522,-7.773
16,16,CS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,10.6689553946757,-7.871
17,17,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3ncnn23)cc1,9.903487552536127,-7.805
18,18,CCN(CC)c1cc(Nc2ccc(S(N)(=O)=O)cc2)n2ncnc2n1,9.305650551780507,-7.011
19,19,NS(=O)(=O)c1ccc(Nc2cc(OC3CCCCC3)nc3ncnn23)cc1,5.247024072160486,-8.24
20,20,NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1,10.275051108968611,-8.047
21,21,Cn1cc(C2=C(N3CCOCC3)C(=O)NC2=O)c2ccccc21,9.011889433252344,-7.516
22,22,O=C(CCl)c1ccc(Br)s1,9.210340371976184,-4.577
23,23,CS(=O)(=O)c1ccc(Nc2cc(-c3ccccc3Cl)nc3c(Br)cnn23)cc1,6.1092475827643655,-8.404
24,24,Brc1cnn2c(NCc3cccnc3)cc(C3CCNCC3)nc12,6.016157159698354,-7.636
25,25,CSc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,7.495541943884256,-7.839
26,26,N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,-0.2231435513142097,-7.814
27,27,COc1ccc(-n2cnc3ccc(-c4nnc(SCc5cccc(C#N)c5)o4)cc32)cc1,0.8329091229351039,-8.472
28,28,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,3.4011973816621555,-10.885
29,29,Cn1c(NCC(=O)c2cccc(C#N)c2)nc(-c2ccncc2)cc1=O,2.5649493574615367,-7.784
30,30,Oc1cccc2c1[nH]c1c(C3=C[C@@]4(O)CC/C=C\CCCCN5CC[C@@H]3[C@]3(CC6/C=C\CCCCN6[C@H]34)C5)nccc12,8.476371196895983,-10.587
31,31,COc1ccc(-c2ccc(/C=C3\SC(=S)NC3=O)o2)c([N+](=O)[O-])c1,8.623353387244627,-7.43
32,32,Fc1cc(F)cc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1,5.272999558563747,-8.66
33,33,O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c1,5.099866427824199,-8.433
34,34,O=[N+]([O-])c1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1,4.454347296253507,-8.464
35,35,N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,4.02535169073515,-7.984
36,36,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,0.0,-7.668
37,37,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,4.691347882229144,-7.815
38,38,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cccc(O)c1,5.4638318050256105,-8.005
