"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1085918";"";"None";"280.33";"0";"3.36";"27";"CCCC(=O)Nc1n[nH]c2cc(-c3cccnc3)ccc12";"IC50";"'='";"10892.0";"nM";"4.96";"";"";"UO_0000065";"17.70";"0.32";"1.60";"7.02";"0";"CHEMBL1113275";"Inhibition of human recombinant GSK3-beta using gamma[33P]-ATP after 30 mins by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155393";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL1083528";"";"None";"323.35";"0";"3.79";"32";"CCCC(=O)Nc1n[nH]c2cc(-c3ccc4c(c3)COO4)ccc12";"IC50";"'='";"25038.0";"nM";"4.60";"";"";"UO_0000065";"14.23";"0.26";"0.81";"6.04";"0";"CHEMBL1113275";"Inhibition of human recombinant GSK3-beta using gamma[33P]-ATP after 30 mins by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155393";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL1083837";"";"None";"324.34";"0";"3.88";"33";"CCCC(=O)Nc1n[nH]c2cc(-c3ccc([N+](=O)[O-])cc3)ccc12";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1113275";"Inhibition of human recombinant GSK3-beta using gamma[33P]-ATP after 30 mins by scintillation proximity assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155393";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL24338";"";"None";"314.44";"0";"3.54";"23";"O=c1sn(Cc2ccccc2)c(=S)n1Cc1ccccc1";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"15.90";"0.33";"1.46";"18.57";"0";"CHEMBL684978";"Inhibitory activity against recombinant rabbit Glycogen synthase kinase-3 beta";"B";"BAO_0000357";"single protein format";"Oryctolagus cuniculus";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135834";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";""
"CHEMBL250369";"";"None";"346.23";"0";"3.62";"14c";"CC(C)c1cc(NCc2cccnc2)n2ncc(Br)c2n1";"IC50";"'='";"420.0";"nM";"6.38";"";"";"UO_0000065";"18.42";"0.41";"2.76";"11.57";"0";"CHEMBL924443";"Inhibition of human GSK3-beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140538";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL209404";"";"None";"342.43";"0";"3.07";"15";"COCCNc1nc(-c2ccc(C#N)s2)nc2c1ncn2C(C)C";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL860056";"Inhibition of GSK3-beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147833";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";""
"CHEMBL304172";"";"None";"401.43";"0";"3.23";"48";"COc1cccc(-n2ncc3c(N/N=C/c4ccc(NC(C)=O)cc4)ncnc32)c1";"IC50";"'='";"12.59";"nM";"7.90";"";"";"UO_0000065";"19.68";"0.36";"4.67";"7.43";"0";"CHEMBL684359";"Ability to inhibit 50% glycogen synthase kinase-3 beta of recombinant human, expressed as log of concentration";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147546";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL418690";"";"None";"494.58";"0";"2.11";"57";"COc1cccc(-n2ncc3c(N/N=C/c4ccc(S(=O)(=O)NCCN(C)C)cc4)ncnc32)c1";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"16.18";"0.31";"5.89";"6.32";"0";"CHEMBL684359";"Ability to inhibit 50% glycogen synthase kinase-3 beta of recombinant human, expressed as log of concentration";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147546";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL2385543";"";"None";"561.09";"2";"6.82";"2n";"O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2388356";"Inhibition of GSK3B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2384992";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL388978";"STAUROSPORINE";"None";"466.54";"0";"4.35";"staurosporine";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"5.2";"nM";"8.28";"";"";"UO_0000065";"17.76";"0.32";"3.93";"11.93";"0";"CHEMBL972544";"Inhibition of GSK3B";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL262";"Glycogen synthase kinase-3 beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138507";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
