Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL3289430,,None,162.20,0,1.12,5,Cc1nn(C)cc1-c1cc[nH]n1,Ki,=',15848.93,nM,4.80,,,UO_0000065,29.59,0.55,3.68,10.32,0,CHEMBL3291944,Inhibition of catalytic activity of human cloned COMT expressed in Escherichia coli using [3H]-S-adenosylmethionine as substrate after 20 mins by liquid scintillation counting,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL3286156,1,Scientific Literature,J Med Chem,2014,None,,,
CHEMBL374451,,None,319.34,0,3.29,15,Cc1ccc(SCC(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,Inhibition,=',90.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
CHEMBL376458,,None,339.30,0,3.42,14,O=C(COc1cccc2ccccc12)c1cc(O)c(O)c([N+](=O)[O-])c1,Inhibition,=',100.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
CHEMBL3335576,,None,264.28,0,2.81,27a,O=c1[nH]c(-c2cccc(-c3ccccc3)c2)ncc1O,Activity,,,,,,Active,,,,,,0,CHEMBL3429509,Activity at C-terminal His6-tagged recombinant human membrane bound COMT expressed in Bacmid infected Sf-9 insect cells using dopamine/SAM as substrate/cofactor preincubated for 2 hrs followed by dopamine/SAM addition after 25 mins by fluorescence polarization assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL3425416,1,Scientific Literature,ACS Med Chem Lett,2015,None,,,
CHEMBL1324,TOLCAPONE,4.0,273.24,0,2.55,1,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,Inhibition,=',97.0,%,,,,UO_0000187,,,,,0,CHEMBL661097,Inhibition of Catechol O-methyltransferase activity in SK-N-SH cells at a concentration of 100 nM,B,BAO_0000219,cell-based format,None,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1135708,1,Scientific Literature,J Med Chem,2002,CHEMBL3307745,,,
CHEMBL223212,,None,295.30,0,0.44,26,CN1CCN(CC(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)CC1,Inhibition,=',71.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
CHEMBL222435,,None,352.34,0,1.42,23,O=C(CCN1CCC2(CC1)OCCO2)c1cc(O)c(O)c([N+](=O)[O-])c1,Inhibition,=',94.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
CHEMBL413782,,None,268.27,0,1.53,20,CCN(CC)CC(=O)c1cc(O)c(O)c([N+](=O)[O-])c1,Inhibition,=',77.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
CHEMBL374773,,None,240.21,0,0.75,18,CN(C)CC(=O)c1cc(O)c(O)c([N+](=O)[O-])c1,Inhibition,=',70.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
CHEMBL426716,,None,444.40,0,1.95,41,O=C(CCN1CCN(C(=O)c2ccc([N+](=O)[O-])cc2)CC1)c1cc(O)c(O)c([N+](=O)[O-])c1,Inhibition,=',96.0,%,,,,UO_0000187,,,,,0,CHEMBL919027,Inhibition of COMT in human SK-N-SH cells at 100 nM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,SK-N-SH,None,,,,CHEMBL2023,Catechol O-methyltransferase,Homo sapiens,SINGLE PROTEIN,CHEMBL1149248,1,Scientific Literature,J Med Chem,2004,CHEMBL3307745,,,
