Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL42526,,None,307.35,0,01.07,3a,CCOC(=O)[C@H](Cc1ccc(OCC2CO2)cc1)NC(C)=O,k_obs,=',1100.0,s-1,,,,,,,,,0,CHEMBL814095,Inhibitory activity against subtilisin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1125161,1,Scientific Literature,J Med Chem,1990,None,,,
CHEMBL4225698,,None,527.62,1,4.27,1,Cc1cc(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2ccncc2)ccc1OCc1ccccc1,FC,=',6.0,,,,,,,,,,0,CHEMBL4221928,Inhibition of PCSK9 in human HepG2 cells assessed as increase in uptake of fluorescent Dil-LDL at 0.37 uM relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4219125,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,
CHEMBL4224909,,None,241.31,0,3.45,3,Cc1cc2c(cc1-c1ccccc1F)CNCC2,Activity,=',10.0,%,,,,UO_0000187,,,,,0,CHEMBL4221923,Inhibition of recombinant PCSK9 (unknown origin) expressed in human HepG2 cells assessed as increase in LDLR expression levels relative to control,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4219125,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,
CHEMBL4227745,,None,174.25,0,1.56,9,c1ccc2c(c1)NC1CNCCC21,Activity,=',60.0,%,,,,UO_0000187,,,,,0,CHEMBL4221932,Inhibition of PCSK9 (unknown origin) expressed in human HepG2 cells assessed as increase in LDL uptake at 0.5 uM,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4219125,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,
CHEMBL4226740,,None,1715.88,None,None,Pep2-8,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(N)=O)C(C)C)[C@@H](C)O)C(C)C)[C@@H](C)O,Kd,=',700.0,nM,6.16,,,UO_0000065,3.59,None,None,None,0,CHEMBL4221945,Binding affinity to recombinant human C-terminal His8-tagged PCSK9 expressed in Chinese hamster ovary cells by biolayer interferometry,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4219125,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,
CHEMBL4282604,,None,365.43,0,04.01,9f,COc1ccc(C(=O)c2cn(CC3CCOCC3)c3c(O)cccc23)cc1,Inhibition,,,%,,,Not Active,UO_0000187,,,,,0,CHEMBL4255291,Inhibition of PCSK9 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4251662,1,Scientific Literature,Eur J Med Chem,2018,None,,,
CHEMBL21485,PHENYLBORONIC ACID,None,121.93,None,None,2,OB(O)c1ccccc1,Ki,=',470000.0,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL813408,Compound was tested for the inhibition of subtilisin,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL1127999,1,Scientific Literature,Bioorg Med Chem Lett,1994,None,,,
CHEMBL4796890,,None,311.29,0,3.56,22,Cn1c(C(=O)c2c[nH]c3c(F)cccc23)nc2cccc(F)c21,Activity,,,,,,Active,,,,,,0,CHEMBL4774174,Modulation of PCSK9 in human HepG2 cells assessed as reduction in PCSK9 expression at 10 to 100 nM incubated for 24 hrs prior to compound washout followed by compound addition and measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4765433,1,Scientific Literature,Eur J Med Chem,2020,None,Dose_Lower = 10.0 nM | Dose_Upper = 100.0 nM | TIME = 48.0 hr,MODULATOR,
CHEMBL4780905,,None,311.29,0,3.56,21; DFBIIK-2,Cn1c(C(=O)c2c[nH]c3c(F)cccc23)nc2ccc(F)cc21,Activity,=',35.0,%,,,,UO_0000187,,,,,0,CHEMBL4774175,Modulation of PCSK9 in human HepG2 cells assessed as reduction in PCSK9 expression at 10 nM incubated for 24 hrs prior to compound washout followed by compound addition and measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4765433,1,Scientific Literature,Eur J Med Chem,2020,None,Dose = 10.0 nM | TIME = 48.0 hr,,
CHEMBL4800397,,None,311.29,0,3.56,20,Cn1c(C(=O)c2c[nH]c3c(F)cccc23)nc2cc(F)ccc21,Activity,=',34.4,%,,,,UO_0000187,,,,,0,CHEMBL4774175,Modulation of PCSK9 in human HepG2 cells assessed as reduction in PCSK9 expression at 10 nM incubated for 24 hrs prior to compound washout followed by compound addition and measured after 24 hrs by ELISA,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HepG2,None,,,,CHEMBL2929,Subtilisin/kexin type 9,Homo sapiens,SINGLE PROTEIN,CHEMBL4765433,1,Scientific Literature,Eur J Med Chem,2020,None,Dose = 10.0 nM | TIME = 48.0 hr,,
